subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,response_type,word,correct_response,response,rt,is_correct
PVW102,102,2015_Dec_01_1421,LL-George,1,test,38,chicken:nonvisual:yes:5,nonvisual,Does it live in a coop?,chicken,chicken_2.wav,mask,word,chicken,yes,yes,284.134244546,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,39,dog:visual:yes:4,visual,Does it have hair?,dog,dog_4.wav,nomask,prompt,,yes,yes,285.298721283,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,40,rabbit:visual:yes:2,visual,Does it have feet?,rabbit,rabbit_3.wav,mask,prompt,,yes,yes,593.835123233,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,41,penguin:visual:yes:3,visual,Does it have feet?,penguin,penguin_4.wav,nomask,prompt,,yes,yes,244.701758842,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,42,mouse:visual:no:3,visual,Does it have stripes?,mouse,mouse_1.wav,nomask,prompt,,no,no,739.962549764,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,43,bottle:visual:yes:2,visual,Is it made of plastic?,bottle,bottle_2.wav,mask,prompt,,yes,yes,377.092649112,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,44,apple:nonvisual:yes:3,nonvisual,Is it eaten in pies?,apple,apple_3.wav,mask,word,apple,yes,yes,162.631115643,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,45,strawberry:visual:yes:1,visual,Is it red?,strawberry,strawberry_4.wav,nomask,word,strawberry,yes,yes,446.18792308,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,46,swan:nonvisual:yes:2,nonvisual,Is it a bird?,swan,swan_1.wav,mask,prompt,,yes,yes,540.743242134,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,47,mouse:nonvisual:yes:4,nonvisual,Is it used in experiments?,mouse,mouse_2.wav,nomask,word,mouse,yes,yes,470.372421318,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,48,table:nonvisual:yes:3,nonvisual,Is it found in dining rooms?,table,table_3.wav,nomask,word,table,yes,yes,445.833266713,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,49,apple:visual:yes:4,visual,Is it round?,apple,apple_1.wav,nomask,prompt,,yes,yes,132.053518551,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,50,chair:visual:yes:1,visual,Does it have legs?,chair,chair_4.wav,mask,word,chair,yes,yes,176.843621419,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,51,tiger:visual:yes:5,visual,Does it have large teeth?,tiger,tiger_1.wav,nomask,prompt,,yes,yes,284.770257538,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,52,table:nonvisual:yes:2,nonvisual,Is it found in kitchens?,table,table_3.wav,nomask,prompt,,yes,yes,347.017908935,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,53,elephant:visual:yes:1,visual,Is it grey?,elephant,elephant_1.wav,nomask,word,elephant,yes,yes,167.543491814,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,54,donkey:nonvisual:no:4,nonvisual,Does it chase cats?,donkey,donkey_3.wav,nomask,prompt,,no,no,278.006177745,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,55,dog:nonvisual:yes:5,nonvisual,Does it chase cats?,dog,dog_2.wav,nomask,prompt,,yes,yes,559.577164939,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,56,elephant:nonvisual:yes:3,nonvisual,Does it live in zoos?,elephant,elephant_3.wav,mask,prompt,,yes,yes,205.142518738,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,57,bottle:visual:no:3,visual,Does it have armrests?,bottle,bottle_2.wav,mask,prompt,,no,no,551.281148568,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,58,giraffe:visual:yes:3,visual,Does it have long legs?,giraffe,lion_2.wav,nomask,prompt,,yes,yes,485.511259059,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,59,penguin:nonvisual:no:2,nonvisual,Is it breakable?,penguin,penguin_2.wav,mask,prompt,,no,no,163.204071461,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,60,pineapple:nonvisual:no:1,nonvisual,Is it an animal?,pineapple,pineapple_3.wav,nomask,prompt,,no,no,569.228750188,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,61,swan:nonvisual:yes:4,nonvisual,Does it lay eggs?,swan,swan_3.wav,nomask,prompt,,yes,yes,258.481186931,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,62,rabbit:visual:yes:1,visual,Does it have ears?,rabbit,rabbit_4.wav,nomask,word,rabbit,yes,yes,457.663684501,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,63,lion:visual:yes:2,visual,Does it have fur?,lion,lion_2.wav,nomask,prompt,,yes,yes,955.502456636,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,64,alligator:nonvisual:no:2,nonvisual,Does it live in the desert?,alligator,alligator_3.wav,nomask,prompt,,no,no,595.827024896,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,65,bottle:nonvisual:no:3,nonvisual,Is it a carnivore?,bottle,bottle_4.wav,mask,prompt,,no,no,185.297120828,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,66,dog:visual:yes:1,visual,Does it have four legs?,dog,elephant_3.wav,nomask,prompt,,yes,yes,37.9207144724,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,67,mouse:nonvisual:no:1,nonvisual,Is it a fruit?,mouse,mouse_3.wav,mask,prompt,,no,no,158.050669706,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,68,alligator:nonvisual:yes:4,nonvisual,Does it live in water?,alligator,alligator_4.wav,mask,prompt,,yes,yes,300.846310216,1
PVW102,102,2015_Dec_01_1421,LL-George,1,test,69,camel:nonvisual:yes:1,nonvisual,Does it live in the desert?,camel,camel_4.wav,mask,word,camel,yes,yes,201.430148911,1
